200.100.196.79 - - [10/Nov/2019:00:19:59 +0200] "GET / HTTP/1.1" 404 1074
85.105.239.22 - - [10/Nov/2019:01:08:07 +0200] "GET / HTTP/1.0" 404 1074
178.147.63.116 - - [10/Nov/2019:01:10:23 +0200] "GET /jpa/ HTTP/1.1" 200 2545
178.147.63.116 - - [10/Nov/2019:01:10:23 +0200] "GET /jpa/css/index.css HTTP/1.1" 304 -
178.147.63.116 - - [10/Nov/2019:01:10:23 +0200] "GET /jpa/node_modules/overhang/dist/overhang.min.css HTTP/1.1" 304 -
178.147.63.116 - - [10/Nov/2019:01:10:23 +0200] "GET /jpa/node_modules/overhang/dist/overhang.min.js HTTP/1.1" 304 -
178.147.63.116 - - [10/Nov/2019:01:10:23 +0200] "GET /jpa/js/index.js HTTP/1.1" 304 -
178.147.63.116 - - [10/Nov/2019:01:10:23 +0200] "GET /jpa/js/requests.js HTTP/1.1" 304 -
178.147.63.116 - - [10/Nov/2019:01:10:24 +0200] "GET /jpa/favicon.png HTTP/1.1" 200 2738
178.147.63.116 - - [10/Nov/2019:01:10:44 +0200] "POST /createUserJPA HTTP/1.1" 200 -
178.147.63.116 - - [10/Nov/2019:01:10:52 +0200] "POST /loginJPA HTTP/1.1" 200 -
178.147.63.116 - - [10/Nov/2019:01:10:52 +0200] "GET /jpa/u HTTP/1.1" 404 1083
178.147.63.116 - - [10/Nov/2019:01:11:02 +0200] "GET /basic/ HTTP/1.1" 200 2545
178.147.63.116 - - [10/Nov/2019:01:11:02 +0200] "GET /basic/css/index.css HTTP/1.1" 304 -
178.147.63.116 - - [10/Nov/2019:01:11:02 +0200] "GET /basic/js/requests.js HTTP/1.1" 304 -
178.147.63.116 - - [10/Nov/2019:01:11:02 +0200] "GET /basic/node_modules/overhang/dist/overhang.min.css HTTP/1.1" 304 -
178.147.63.116 - - [10/Nov/2019:01:11:02 +0200] "GET /basic/js/index.js HTTP/1.1" 304 -
178.147.63.116 - - [10/Nov/2019:01:11:02 +0200] "GET /basic/node_modules/overhang/dist/overhang.min.js HTTP/1.1" 304 -
178.147.63.116 - - [10/Nov/2019:01:11:11 +0200] "POST /createUserBasic HTTP/1.1" 200 -
178.147.63.116 - - [10/Nov/2019:01:11:20 +0200] "POST /loginBasic HTTP/1.1" 200 -
178.147.63.116 - - [10/Nov/2019:01:11:20 +0200] "GET /basic/u HTTP/1.1" 200 1490
178.147.63.116 - - [10/Nov/2019:01:11:20 +0200] "GET /basic/js/user.js HTTP/1.1" 304 -
178.147.63.116 - - [10/Nov/2019:01:11:34 +0200] "GET /basic HTTP/1.1" 302 -
178.147.63.116 - - [10/Nov/2019:01:11:34 +0200] "GET /basic/ HTTP/1.1" 200 2545
178.147.63.116 - - [10/Nov/2019:01:11:41 +0200] "POST /loginBasic HTTP/1.1" 200 -
178.147.63.116 - - [10/Nov/2019:01:11:41 +0200] "GET /basic/u HTTP/1.1" 200 1490
178.147.63.116 - - [10/Nov/2019:01:13:51 +0200] "GET /basic HTTP/1.1" 302 -
178.147.63.116 - - [10/Nov/2019:01:13:51 +0200] "GET /basic/ HTTP/1.1" 200 2545
178.147.63.116 - - [10/Nov/2019:01:14:13 +0200] "GET /jpa/ HTTP/1.1" 200 2545
178.147.63.116 - - [10/Nov/2019:01:14:19 +0200] "POST /loginJPA HTTP/1.1" 200 -
178.147.63.116 - - [10/Nov/2019:01:14:19 +0200] "GET /jpa/u HTTP/1.1" 404 1083
178.147.63.116 - - [10/Nov/2019:01:14:53 +0200] "GET /jpa/u HTTP/1.1" 404 1083
178.147.63.116 - - [10/Nov/2019:01:14:53 +0200] "GET /jpa/u HTTP/1.1" 404 1083
178.147.63.116 - - [10/Nov/2019:01:14:54 +0200] "GET /jpa/u HTTP/1.1" 404 1083
178.147.63.116 - - [10/Nov/2019:01:14:54 +0200] "GET /jpa/u HTTP/1.1" 404 1083
178.147.63.116 - - [10/Nov/2019:01:22:21 +0200] "GET /jpa/u HTTP/1.1" 404 1083
178.147.63.116 - - [10/Nov/2019:01:22:22 +0200] "GET /jpa/u HTTP/1.1" 404 1083
178.147.63.116 - - [10/Nov/2019:01:22:22 +0200] "GET /jpa/u HTTP/1.1" 404 1083
178.147.63.116 - - [10/Nov/2019:01:22:22 +0200] "GET /jpa/u HTTP/1.1" 404 1083
